Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Total des sessions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme,2023-01-05 14:54:38,false,"Dompierre-sur-Yon Cyclisme","21.93","574","00:49:59","137","152","2.5","0","0","26.3","41.3","114","116","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","04:16.86.3","5","28.0","31","22","36","00:49:57","00:49:59","57","87"
Course à pied,2023-01-05 10:53:26,false,"45’ EF","7.90","592","00:44:34","141","161","3.0","165","171","5:39","5:00","48","47","1.07","10.2","11.2","262","49.5% G / 50.5% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","05:25.66.2","8","25.0","28","17","36","00:44:27","00:44:34","65","86"
En piscine,2023-01-04 14:27:31,false,"En piscine","1,500","360","00:50:26","127","166","2.3","0","0","1:55","1:32","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","724","82","25","0","--","0:00","0.0","0:00","Non","00:00.34.5","42","0.0","--","--","--","00:28:43","00:51:14","--","--"
Course à pied,2023-01-03 10:47:04,false,"VMA : 2x(6x30''/30'') @ 105%","8.47","680","00:53:50","145","197","3.5","156","201","6:21","2:49","50","49","1.00","10.3","9.5","287","49.3% G / 50.7% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","Non","00:05.38.5","33","25.0","30","17","45","00:53:30","00:53:50","65","86"
Course à pied,2023-01-02 15:29:16,false,"40’ EF","7.48","548","00:40:25","140","158","3.0","169","174","5:24","4:51","40","41","1.10","9.8","10.9","256","49.5% G / 50.5% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Non","02:40.47.5","8","29.0","28","19","36","00:40:22","00:40:25","68","85"
Course à pied,2022-12-26 11:33:38,false,"Audierne Course à pied","15.00","1,185","01:23:23","148","177","4.0","168","241","5:33","3:42","181","183","1.07","10.0","11.0","254","49.6% G / 50.4% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:00.57.4","16","28.0","29","15","39","01:23:20","01:23:23","-1","48"
Course à pied,2022-12-25 11:46:55,false,"Audierne Course à pied","8.24","663","00:47:34","148","167","3.3","165","199","5:46","3:43","94","92","1.05","10.0","10.7","268","49.3% G / 50.7% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","01:19.27.8","9","28.0","30","22","39","00:47:33","00:47:34","--","48"
Course à pied,2022-12-24 17:44:14,false,"Audierne Course à pied","0.32","25","00:01:45.3","138","150","0.6","153","172","5:26","4:49","1","3","1.20","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","01:45.27.2","1","24.0","--","--","--","00:01:41","00:01:45.3","44","47"
Course à pied,2022-12-24 11:11:36,false,"Audierne Course à pied","1.73","122","00:09:49.6","124","139","1.7","165","177","5:41","4:35","15","38","1.06","9.6","10.3","274","49.5% G / 50.5% D","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","04:04.16.2","2","25.0","30","20","37","00:09:49","00:09:49.6","20","48"
Randonnée,2022-12-23 12:27:07,false,"Audierne Randonnée","2.84","217","00:36:39","100","122","0.7","96","250","12:55","7:05","60","63","0.81","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","36:38.96.1","1","23.0","--","--","--","00:30:58","00:36:39","7","48"
