Type d'activité,Date,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Longueur moyenne des foulées,Temps de contact moyen avec le sol
Course à pied,2022-08-30 19:40:16,3.83,293,22.983333333333334,144,159,156,164,6.0,5.15,1.07,0
Course à pied,2022-08-29 08:12:34,12.22,981,71.36666666666666,156,179,157,178,5.85,4.516666666666667,1.09,0
Course à pied,2022-08-22 19:16:22,4.95,385,24.133333333333333,173,187,161,173,4.883333333333333,3.716666666666667,1.27,0
Course à pied,2022-08-16 16:18:13,3.33,275,18.25,162,179,156,168,5.483333333333333,4.55,1.17,0
Course à pied,2022-08-15 11:36:33,4.97,388,27.4,158,183,157,173,5.516666666666667,3.1666666666666665,1.15,0
Course à pied,2022-08-11 10:15:44,14.59,1298,88.55,166,186,157,170,6.066666666666666,4.633333333333333,1.05,0
Course à pied,2022-08-09 10:30:31,10.15,847,58.21666666666667,161,189,155,172,5.733333333333333,4.783333333333333,1.12,0
Course à pied,2022-08-08 10:41:47,1.0,114,7.15,176,186,156,160,7.133333333333334,6.183333333333334,0.9,0
Course à pied,2022-08-08 09:58:01,8.01,640,40.36666666666667,171,194,159,176,5.033333333333333,3.1666666666666665,1.25,0
Course à pied,2022-08-07 16:25:07,4.41,361,21.666666666666668,178,192,162,177,4.916666666666667,3.95,1.25,0
Course à pied,2022-08-02 09:17:57,6.02,473,30.216666666666665,167,193,159,170,5.016666666666667,3.716666666666667,1.25,0
Course à pied,2022-07-30 12:32:37,9.42,750,49.56666666666667,163,193,159,170,5.266666666666667,4.016666666666667,1.19,0
Course à pied,2022-07-28 10:23:39,11.11,797,62.03333333333333,147,158,156,162,5.583333333333333,4.833333333333333,1.15,0
Course à pied,2022-07-26 10:59:15,1.02,114,7.15,172,182,153,158,7.016666666666667,6.55,0.93,0
Course à pied,2022-07-26 10:16:17,8.85,659,42.016666666666666,165,192,166,175,4.75,3.6333333333333333,1.27,0
Course à pied,2022-07-25 09:58:33,8.29,656,41.78333333333333,167,192,163,199,5.033333333333333,2.25,1.22,0
Course à pied,2022-07-22 19:26:54,0.9,101,6.8,162,192,149,160,7.583333333333333,6.2,0.89,0
Course à pied,2022-07-22 18:48:50,8.25,629,37.15,175,191,171,178,4.5,3.8,1.3,0
Course à pied,2022-07-20 17:15:18,6.2,455,30.683333333333334,157,183,161,170,4.95,4.116666666666666,1.26,0
Course à pied,2022-07-12 07:36:36,4.24,322,21.616666666666667,158,200,148,172,5.1,3.3166666666666664,1.31,0
Course à pied,2022-07-11 08:29:31,9.62,856,48.13333333333333,182,202,156,172,5.0,3.6833333333333336,1.28,0
Course à pied,2022-07-08 08:51:17,6.3,456,40.25,138,155,145,174,6.383333333333334,3.8166666666666664,1.08,0
Course à pied,2022-07-06 17:01:38,5.38,396,25.983333333333334,162,177,160,164,4.833333333333333,3.55,1.29,0
Course à pied,2022-07-01 19:44:33,8.03,596,38.1,169,191,163,175,4.75,3.533333333333333,1.29,0
Course à pied,2022-06-27 19:46:53,1.0,89,6.983333333333333,145,169,158,166,6.966666666666667,5.7,0.91,0
Course à pied,2022-06-27 19:10:02,8.01,589,36.05,171,194,165,173,4.5,4.016666666666667,1.35,0
Course à pied,2022-06-23 08:59:36,9.97,826,60.833333333333336,152,178,141,206,6.1,2.6,1.16,0
Course à pied,2022-06-20 19:19:10,6.69,484,33.18333333333333,157,179,159,170,4.966666666666667,4.016666666666667,1.27,0
Course à pied,2022-06-19 09:36:25,6.66,536,32.8,173,186,159,166,4.916666666666667,4.166666666666667,1.27,0
Course à pied,2022-06-15 19:26:21,4.44,327,21.083333333333332,164,181,159,166,4.75,4.083333333333333,1.32,0
Course à pied,2022-06-13 19:28:25,4.0,274,18.3,158,182,162,168,4.566666666666666,3.6833333333333336,1.35,0
Course à pied,2022-06-10 09:53:58,4.53,499,55.15,138,202,63,175,12.183333333333334,3.3,1.24,0
Course à pied,2022-06-03 09:04:39,21.13,1611,98.75,175,191,163,173,4.666666666666667,4.066666666666666,1.32,0
Course à pied,2022-06-01 09:01:38,4.42,368,26.8,154,199,126,173,6.066666666666666,3.3,1.38,0
Course à pied,2022-05-30 17:04:00,1.4,149,9.1,180,188,157,168,6.483333333333333,5.183333333333334,0.98,0
Course à pied,2022-05-30 16:19:16,10.01,676,43.4,168,191,162,173,4.333333333333333,3.45,1.43,0
Course à pied,2022-05-29 12:42:57,4.5,302,20.7,160,190,162,175,4.6,3.3333333333333335,1.34,0
Course à pied,2022-05-24 13:43:46,4.16,343,24.766666666666666,155,183,138,176,5.95,3.8833333333333333,1.2,0
Course à pied,2022-05-23 14:08:28,1.85,156,11.116666666666667,154,170,158,166,6.0,5.433333333333334,1.05,0
Course à pied,2022-05-23 13:40:08,4.45,340,21.733333333333334,165,191,161,173,4.883333333333333,4.15,1.27,0
